IMG_ID,GUESS
2ecb8f54-57dc-11ea-bbbb-001a7dda7113,0750
2edce888-57dc-11ea-84c3-001a7dda7113,1676372
2ee82b74-57dc-11ea-be69-001a7dda7113,287725
2ef14cf4-57dc-11ea-aefc-001a7dda7113,83
2f027f40-57dc-11ea-9968-001a7dda7113,280286
2f166eda-57dc-11ea-b681-001a7dda7113,6815282
2f2115de-57dc-11ea-8b18-001a7dda7113,115
2f2c31d8-57dc-11ea-93a2-001a7dda7113,52481
2f363d14-57dc-11ea-a2c5-001a7dda7113,5858
2f3f5e98-57dc-11ea-b8fe-001a7dda7113,513
2f486cda-57dc-11ea-b7f6-001a7dda7113,3160
2f613b10-57dc-11ea-ab61-001a7dda7113,429054
2f7406c6-57dc-11ea-aa1e-001a7dda7113,55483
2f803370-57dc-11ea-a888-001a7dda7113,2228
2f8c9ad4-57dc-11ea-a69d-001a7dda7113,18425
2f987992-57dc-11ea-8ec9-001a7dda7113,6641
2fa5420c-57dc-11ea-ae92-001a7dda7113,22048
2fb15b88-57dc-11ea-9850-001a7dda7113,65
2fbf6f86-57dc-11ea-b222-001a7dda7113,2621
2fd55978-57dc-11ea-b9b2-001a7dda7113,3281802
2fe4b83a-57dc-11ea-8ad6-001a7dda7113,25
2ff37b36-57dc-11ea-b385-001a7dda7113,060
2ffdd45c-57dc-11ea-a236-001a7dda7113,3786
300ac3d2-57dc-11ea-a288-001a7dda7113,8223
301986c8-57dc-11ea-8502-001a7dda7113,0685531
30258c7a-57dc-11ea-a8fd-001a7dda7113,8085
3031b926-57dc-11ea-9e32-001a7dda7113,342
303e33c8-57dc-11ea-a457-001a7dda7113,35720
30498a64-57dc-11ea-833e-001a7dda7113,15
3052f9cc-57dc-11ea-bca3-001a7dda7113,2702
30616ee6-57dc-11ea-83a7-001a7dda7113,23904
30731600-57dc-11ea-9625-001a7dda7113,4734923
30811630-57dc-11ea-ad97-001a7dda7113,86170
309a1f26-57dc-11ea-bbd2-001a7dda7113,102344
30ad11be-57dc-11ea-9319-001a7dda7113,7220
30ba3be8-57dc-11ea-839f-001a7dda7113,2238
30d247f4-57dc-11ea-85b5-001a7dda7113,6578853
30e4d8d8-57dc-11ea-96bd-001a7dda7113,828
30fb5eac-57dc-11ea-a5ea-001a7dda7113,388238
310eb26e-57dc-11ea-9871-001a7dda7113,2595
3124c35c-57dc-11ea-a64a-001a7dda7113,890110
313c0c00-57dc-11ea-b1ed-001a7dda7113,20262
314cf05a-57dc-11ea-8ed3-001a7dda7113,20257
315c0136-57dc-11ea-806c-001a7dda7113,20548
316a9d38-57dc-11ea-aa21-001a7dda7113,284
31791246-57dc-11ea-b0e7-001a7dda7113,7272
3187605a-57dc-11ea-8323-001a7dda7113,630728
31949dba-57dc-11ea-a420-001a7dda7113,228528
31a215c6-57dc-11ea-924f-001a7dda7113,64773
31afc808-57dc-11ea-b680-001a7dda7113,322338
31baa9e8-57dc-11ea-ba32-001a7dda7113,428
31cc2a12-57dc-11ea-aabe-001a7dda7113,6848252
31d82fcc-57dc-11ea-8513-001a7dda7113,08245
31e3e798-57dc-11ea-af1f-001a7dda7113,3584
31eeb5a6-57dc-11ea-8f94-001a7dda7113,3452
31f84ce2-57dc-11ea-9523-001a7dda7113,457
32051480-57dc-11ea-a293-001a7dda7113,455754
320e83f0-57dc-11ea-bc59-001a7dda7113,430
3220a002-57dc-11ea-b747-001a7dda7113,4850847
322ca5b4-57dc-11ea-bde2-001a7dda7113,388
323d8a12-57dc-11ea-b2d1-001a7dda7113,217220
324d0fd2-57dc-11ea-96a8-001a7dda7113,528573
32591588-57dc-11ea-bd21-001a7dda7113,5162
3263bca6-57dc-11ea-b0d8-001a7dda7113,021
327231a6-57dc-11ea-b860-001a7dda7113,2837245
327cd8be-57dc-11ea-abfd-001a7dda7113,6826
3289ef2c-57dc-11ea-9fe7-001a7dda7113,60
3297673e-57dc-11ea-a5af-001a7dda7113,325225
32a44376-57dc-11ea-86fe-001a7dda7113,77122
32bb8c1e-57dc-11ea-9771-001a7dda7113,781852
32c97922-57dc-11ea-9378-001a7dda7113,532
32dc30f4-57dc-11ea-9855-001a7dda7113,2226
32ec7976-57dc-11ea-aafb-001a7dda7113,60512
32f76e7e-57dc-11ea-a631-001a7dda7113,345
3302b164-57dc-11ea-a00f-001a7dda7113,7365
330c20d0-57dc-11ea-abc1-001a7dda7113,2744
33160518-57dc-11ea-864b-001a7dda7113,3243
331f2698-57dc-11ea-9a43-001a7dda7113,052
33296c82-57dc-11ea-a77f-001a7dda7113,22
3335723e-57dc-11ea-893b-001a7dda7113,17382
